Account|DocYYMM|SalesTax|Taxable|NonTax|Exempt
1000199|2307|.0000|812.0600|.0000|812.0600
10000111|2205|119.3200|1988.6400|.0000|.0000
1000097|2401|-40.2600|-671.0000|.0000|.0000
1000120|2604|9.9300|165.4700|.0000|.0000
1000039|2507|1.6200|26.9900|.0000|.0000
HOWLETT|2109|1210.9700|20182.8100|.0000|.0000
1000116|2307|.0000|49.4200|.0000|49.4200
1000108|2209|2.8200|46.9900|.0000|.0000
1000087|2412|.5400|9.0100|.0000|.0000
DARRELLMOR|2105|3.3000|54.9900|.0000|.0000
1000197|2602|12.5600|209.4100|.0000|.0000
1000105|2207|6.2300|103.8000|.0000|.0000
1000077|2303|194.4600|3241.4600|.0000|.0000
1000116|2203|.0000|9.4000|.0000|9.4000
1000260|2409|2.5600|42.7400|.0000|.0000
BRYANHORN|2109|.9900|16.5400|.0000|.0000
1000039|2604|31.2200|520.3200|.0000|.0000
1000260|2512|7.0600|117.4900|.0000|.0000
1000183|2211|218.0600|3634.3400|.0000|.0000
1000193|2307|2.1400|35.7500|.0000|.0000
|2307|.0000|.0000|.0000|.0000
TIMLOHDEN|2103|16.0000|266.6500|.0000|.0000
1000087|2303|2.3900|39.7800|.0000|.0000
1000220|2212|15.4600|257.7000|.0000|.0000
